set,video,model,mode,delegate,fps_mean,visibility_mean,presence_mean,jitter_mean
run,fast.mp4,pose_landmarker_full,VIDEO,CPU,19.071392455897822,0.946684405182398,0.9433870194771043,0.0034858295418937987
run,fast.mp4,pose_landmarker_heavy,VIDEO,CPU,6.4447117413894714,0.9072405402894358,0.9607616089174841,0.003436883176070866
run,fast.mp4,pose_landmarker_lite,VIDEO,CPU,23.462467309488066,0.9498459797517969,0.9460035175477685,0.0027857254544525843
run,front_stay.mp4,pose_landmarker_full,VIDEO,CPU,16.980964728093035,0.816991198296477,0.7766629682323353,0.0010361753730654929
run,front_stay.mp4,pose_landmarker_heavy,VIDEO,CPU,6.211077560324947,0.7901901705141688,0.805739183709945,0.0010303963175034973
run,front_stay.mp4,pose_landmarker_lite,VIDEO,CPU,20.947388272040023,0.9032067189932571,0.8073649936205622,0.0017522659185845973
run,side_stay.mp4,pose_landmarker_full,VIDEO,CPU,16.017814629402277,0.6926116425477145,0.7921015733312495,0.0026021646161749003
run,side_stay.mp4,pose_landmarker_heavy,VIDEO,CPU,5.862810248699475,0.6401268475005045,0.8229928473938086,0.001363150850073276
run,side_stay.mp4,pose_landmarker_lite,VIDEO,CPU,22.220834339378378,0.7396952726946797,0.7913517955341566,0.001772396311011191
run,slow.mp4,pose_landmarker_full,VIDEO,CPU,17.295391244224586,0.9205092988373238,0.8971175382488674,0.002719399373037545
run,slow.mp4,pose_landmarker_heavy,VIDEO,CPU,6.060038279334868,0.8836562164796685,0.926655963009195,0.002182933457101078
run,slow.mp4,pose_landmarker_lite,VIDEO,CPU,22.0382587692951,0.928296931962286,0.9054420831227463,0.0019674576952016113
run_opt,fast.mp4,pose_landmarker_full,VIDEO,CPU,16.80514709300334,0.977780333676535,0.9866254594499686,0.0034858295418937987
run_opt,fast.mp4,pose_landmarker_heavy,VIDEO,CPU,6.0706294900740145,0.9572401638504363,0.9884414446215706,0.003436883176070866
run_opt,fast.mp4,pose_landmarker_lite,VIDEO,CPU,20.80363171156988,0.976931007560199,0.9836249815372013,0.0027857254544525843
run_opt,front_stay.mp4,pose_landmarker_full,VIDEO,CPU,18.957910936029315,0.9833386524575009,0.9819549868222113,0.0010361753730654929
run_opt,front_stay.mp4,pose_landmarker_heavy,VIDEO,CPU,6.4696800871374425,0.9661243934368553,0.992390811634782,0.0010303963175034973
run_opt,front_stay.mp4,pose_landmarker_lite,VIDEO,CPU,23.750753108147244,0.9744883704024332,0.976872530986072,0.0017522659185845973
run_opt,side_stay.mp4,pose_landmarker_full,VIDEO,CPU,18.864698572674364,0.7185266000965115,0.9642485377300536,0.0026021646161749003
run_opt,side_stay.mp4,pose_landmarker_heavy,VIDEO,CPU,6.375276463226932,0.6690705254395947,0.9809566204639041,0.001363150850073276
run_opt,side_stay.mp4,pose_landmarker_lite,VIDEO,CPU,23.80114923632674,0.7330375288870189,0.9358477595918001,0.001772396311011191
run_opt,slow.mp4,pose_landmarker_full,VIDEO,CPU,18.898474423699824,0.9650919024691734,0.968659064080154,0.002719399373037545
run_opt,slow.mp4,pose_landmarker_heavy,VIDEO,CPU,6.5392418876069645,0.9495383395145996,0.9848731276134011,0.002182933457101078
run_opt,slow.mp4,pose_landmarker_lite,VIDEO,CPU,24.69131516416646,0.9571637897412627,0.9564630126466965,0.0019674576952016113
